Codigo,TipoProducto,PaisOrigen,Linea,Toma,Observacion,Descripcion,Activo
83791G,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83785,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
95202,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94164 D,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94165 I,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83796,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
84743,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
83772,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
94161,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
84741,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
94166,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83797,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
83798,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
84746,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38254,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38060,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
38242,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38253,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
83803,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
94179,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94180,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94178,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83804,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
94185 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94186 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
83816,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
94187 D,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94188 I,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83819,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
83817,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
84748,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
94183,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83811,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
83808,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
83807,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
94189 D,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94190 I,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94184,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83813,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
94197,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83827,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
95402 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
95401 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94191 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94192 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83822,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
94163,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83774,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
83821,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
94195,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83823,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
94196,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83826,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/M ,,,SI
95603 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
95604 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
95602,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
