Marca,Modelo,Linea,Producto,Modelo_2,Num_parte,Posicion,Desde,Hasta,Link
FIAT,STILO,Fric Rot Max,Amortiguadores,STILO,83823,TRASERO,2003-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66654
FIAT,STILO,OEspectrum,Amortiguadores,STILO,SP074,TRASERO,2003-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69644/p/monroe
FIAT,STILO,OEspectrum,Amortiguadores,STILO,SP072,DELANTERO,2003-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69643/p/monroe
VOLVO,SERIE 700,Original,Amortiguadores,740 - 760,R3412,TRASERO,1982-01,1992-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/70103/p/monroe
VOLVO,SERIE 700,Original,Amortiguadores,740 - 760,MG251,DELANTERO,1982-01,1992-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66985/p/monroe
RENAULT,LOGAN,Monro Matic Plus,Amortiguadores,LOGAN / SANDERO,334157MM,TRASERO,2004-01,2012-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/70477
RENAULT,LOGAN,PARRILLAS DE SUSPENSION,Componentes de suspensión,LOGAN / SANDERO,PS46410I,DERECHA,2004-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/68433
RENAULT,LOGAN,PARRILLAS DE SUSPENSION,Componentes de suspensión,LOGAN / SANDERO,PS46420I,IZQUIERDA,2004-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/68434
RENAULT,LOGAN,Monro Matic Plus,Amortiguadores,LOGAN / SANDERO,808448MM,DELANTERO,2005-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70494
RENAULT,LOGAN,Fric Rot Max,Amortiguadores,LOGAN I,83824,TRASERO,2008-01,2013-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/68035
RENAULT,LOGAN,Fric Rot Max,Amortiguadores,LOGAN I,94203,DELANTERO,2008-01,2013-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/68045
RENAULT,LOGAN,Monroe Internacional,Amortiguadores,LOGAN I,83824MI,TRASERO,2008-01,2013-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/68037/p/monroe
RENAULT,LOGAN,Monroe Internacional,Amortiguadores,LOGAN I,94203MI,DELANTERO,2008-01,2013-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/68047/p/monroe
RENAULT,LOGAN,Fric Rot Max,Amortiguadores,LOGAN II,94223,DELANTERO,2014-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69714
RENAULT,LOGAN,Fric Rot Max,Amortiguadores,LOGAN II,83864,TRASERO,2014-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69785
RENAULT,LOGAN,Monroe Internacional,Amortiguadores,LOGAN II,83864MI,TRASERO,2014-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69788/p/monroe
RENAULT,LOGAN,Monroe Internacional,Amortiguadores,LOGAN II,94223MI,DELANTERO,2014-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69723/p/monroe
BMW,SERIE 5,OEspectrum,Amortiguadores,Serie 5 (E39),G8427,Delantero Derecho,1995-01,2003-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/70590
BMW,SERIE 5,OEspectrum,Amortiguadores,Serie 5 (E39),G8428,Delantero Izquierdo,1995-01,2003-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/70591
BMW,SERIE 5,OEspectrum,Amortiguadores,520/523/525/528/530 (E39),742026SP,Delantero Derecho,1995-09,2003-09,http://www.fricrot.com.ar/e-catalog/parte/codigo/70127/p/monroe
BMW,SERIE 5,OEspectrum,Amortiguadores,520/523/525/528/530 (E39),742027SP,Delantero Izquierdo,1995-09,2003-09,http://www.fricrot.com.ar/e-catalog/parte/codigo/70128/p/monroe
BMW,SERIE 5,OEspectrum,Amortiguadores,520/523/525/528/530 (E39),376019SP,TRASERO,1997-09,2003-09,http://www.fricrot.com.ar/e-catalog/parte/codigo/70271/p/monroe
FORD,F600,Monroe Magnum - Mediano,Amortiguadores,CAMION F600,60506,DELANTERO,1972-01,1981-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/609/p/monroe
FORD,F600,Monroe Magnum - Mediano,Amortiguadores,CAMION F600,60518,DELANTERO,1981-01,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/613/p/monroe
DODGE,D / DD / DP,Monroe Magnum - Mediano,Amortiguadores,CAMION  D500,60502,DELANTERO,1961-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/603/p/monroe
DODGE,D / DD / DP,Monroe Magnum - Mediano,Amortiguadores,CAMION DP 500 / DP 600 / DP 800,60502,DELANTERO,1961-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/604/p/monroe
DODGE,D / DD / DP,Monroe Magnum - Mediano,Amortiguadores,CAMION DD 900 / DD 1000,60502,DELANTERO,1979-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/607/p/monroe
DACIA,DACIA,Max Reforzado,Amortiguadores,1200/1300/1310/1410/BREAK,59086i,DELANTERO,1970-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/1484
DACIA,DACIA,Fric Rot Max,Amortiguadores,1200/1300/1310/1410/BREAK,38840c,TRASERO,1970-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/1436
DACIA,DACIA,Monroe Internacional,Amortiguadores,1200/1300/1310/1410/BREAK,59113MI,DELANTERO,1970-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67964/p/monroe
DACIA,DACIA,Monroe Internacional,Amortiguadores,1200/1300/1310/1410/BREAK,38840c MI,TRASERO,1970-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67261/p/monroe
DACIA,DACIA,Monroe Internacional,Amortiguadores,1200/1300/1310/1410/BREAK,59086i MI,DELANTERO,1970-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67257/p/monroe
MERCEDES BENZ,SERIE MB,Monroe Internacional,Amortiguadores,MICROBUS MB 180 D,59626MI,DELANTERO,1993-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67975/p/monroe
MERCEDES BENZ,SERIE MB,Monroe Internacional,Amortiguadores,MICROBUS MB 180 D,59627MI,TRASERO,1993-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67727/p/monroe
MERCEDES BENZ,1112,Especiales HD,Amortiguadores,CABINA L 1112,38929,DELANTERO,NA,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69763
MERCEDES BENZ,1112,Especiales HD,Amortiguadores,CABINA L 1112,38929MI,DELANTERO,NA,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69771/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,CAMION LS 1112/AB,72022,DELANTERO,1971-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2068/p/monroe
